descriptor_id	trace_id	size	live_count	allocation_calls	requested_bytes
4516	3865	65142784	1	1	65142784
5263	5483	13928000	1	1	13928000
4517	3867	8142848	1	1	8142848
4118	3763	536	10984	10984	5887424
3718	3433	1962576	1	1	1962576
4481	3834	176	10984	10984	1933184
16381	7331	184	6543	28341	1203912
3984	3589	1158408	1	1	1158408
5774	5971	1131312	1	1	1131312
16382	7332	68	10648	40715	724064
12541	6535	680	1024	1024	696320
13149	7172	680	1024	1024	696320
13162	7191	680	1024	1024	696320
19740	7348	589824	1	2	589824
19792	7406	589824	1	1	589824
19822	7499	589824	1	2	589824
29214	25351	524288	1	1	524288
5777	5980	406296	1	1	406296
4518	3869	366576	1	1	366576
13147	7163	184	1976	6554	363584
31198	7921	176128	2	180	352256
31453	7805	176128	2	180	352256
31577	7852	176128	2	178	352256
5296	5526	832	416	416	346112
5304	5534	346112	1	1	346112
32165	34023	339840	1	36	339840
3905	3524	315288	1	1	315288
24498	10933	274432	1	1	274432
12539	6526	262144	1	1	262144
13083	7086	32768	8	32	262144
13471	7292	184	1394	3186	256496
4620	4051	230400	1	1	230400
4626	4070	230400	1	1	230400
19938	7797	120	1684	151622	202080
19988	7844	120	1684	149938	202080
20046	7913	120	1684	151622	202080
4483	3838	186912	1	1	186912
3512	3362	185368	1	1	185368
23287	7263	180224	1	1	180224
5285	5512	420	420	420	176400
5299	5529	176400	1	1	176400
12552	6546	163840	1	1	163840
12565	6560	163840	1	1	163840
13160	7183	163840	1	1	163840
13173	7202	163840	1	1	163840
3985	3593	96	1588	1588	152448
5298	5528	152000	1	1	152000
13202	7236	680	209	209	142120
13193	7226	680	208	208	141440
24483	10910	140971	1	1	140971
12554	6550	136	1024	1024	139264
5275	5500	420	315	315	132300
31123	7921	44032	3	540	132096
31378	7805	44032	3	540	132096
31502	7852	44032	3	534	132096
29562	26421	131096	1	1	131096
5277	5502	131072	1	1	131072
3910	3532	96	1183	1241	113568
24471	10910	105553	1	1	105553
4172	3769	102912	1	1	102912
4173	3770	102912	1	1	102912
12989	6804	88064	1	1	88064
19967	7805	22016	4	901	88064
20017	7852	22016	4	891	88064
20075	7921	22016	4	901	88064
31124	7921	88064	1	270	88064
31379	7805	88064	1	270	88064
31503	7852	88064	1	267	88064
12580	6599	87872	1	1	87872
4548	3888	83984	1	1	83984
3749	3467	66	1265	1265	83490
13472	7293	56	1451	3589	81256
5297	5527	80000	1	1	80000
4121	3768	16	4864	4864	77824
0	4	73728	1	1	73728
24511	10959	70392	1	1	70392
5279	5504	65536	1	1	65536
13084	7086	65536	1	5	65536
23530	7450	65536	1	11131	65536
24579	11141	61448	1	1	61448
24580	11143	61448	1	1	61448
24581	11145	61448	1	1	61448
24621	11252	57352	1	1	57352
10124	6062	136	396	396	53856
10125	6063	136	396	396	53856
10126	6064	136	396	396	53856
10127	6065	136	396	396	53856
3722	3437	64	824	875	52736
3993	3604	64	818	853	52352
10827	6059	2136	24	24	51264
10152	6062	144	348	348	50112
10153	6063	144	348	348	50112
10154	6064	144	348	348	50112
10155	6065	144	348	348	50112
10247	6062	140	356	356	49840
10248	6063	140	356	356	49840
10249	6064	140	356	356	49840
10250	6065	140	356	356	49840
24622	11254	49152	1	1	49152
4539	3891	32	1465	1466	46880
3991	3604	32	1412	2265	45184
36586	47708	44032	1	1	44032
36784	47929	44032	1	1	44032
5300	5530	43264	1	1	43264
5301	5531	43264	1	1	43264
5302	5532	43264	1	1	43264
5303	5533	43264	1	1	43264
5321	5562	43264	1	1	43264
5322	5563	43264	1	1	43264
19933	7786	43264	1	63	43264
19980	7829	43264	1	47	43264
20038	7898	43264	1	63	43264
5272	5495	420	103	103	43260
10140	6062	128	331	331	42368
10141	6063	128	331	331	42368
10142	6064	128	331	331	42368
10143	6065	128	331	331	42368
10533	6062	148	276	276	40848
10534	6063	148	276	276	40848
10535	6064	148	276	276	40848
10536	6065	148	276	276	40848
13473	7295	184	221	527	40664
5765	5947	40400	1	1	40400
3721	3437	32	1193	2069	38176
10192	6062	152	244	244	37088
10193	6063	152	244	244	37088
10194	6064	152	244	244	37088
10195	6065	152	244	244	37088
13468	7287	184	200	530	36800
10176	6062	168	217	217	36456
10177	6063	168	217	217	36456
10178	6064	168	217	217	36456
10179	6065	168	217	217	36456
13709	7298	184	193	770	35512
24469	10910	35416	1	1	35416
10188	6062	132	259	259	34188
10189	6063	132	259	259	34188
10190	6064	132	259	259	34188
10191	6065	132	259	259	34188
4167	3773	24	1417	1417	34008
13081	7086	8192	4	47	32768
13082	7086	16384	2	37	32768
25048	13383	32768	1	1	32768
5292	5521	104	312	312	32448
24500	10936	31408	1	1	31408
10400	6062	156	192	192	29952
10401	6063	156	192	192	29952
10402	6064	156	192	192	29952
10403	6065	156	192	192	29952
3724	3441	16	1752	2097	28032
3909	3528	64	418	444	26752
12838	6872	176	142	142	24992
24474	10910	24322	1	1	24322
10026	6061	72	336	336	24192
10128	6062	160	151	151	24160
10129	6063	160	151	151	24160
10130	6064	160	151	151	24160
10131	6065	160	151	151	24160
3908	3528	32	746	1192	23872
10404	6062	164	143	143	23452
10405	6063	164	143	143	23452
10406	6064	164	143	143	23452
10407	6065	164	143	143	23452
10553	6062	176	129	129	22704
10554	6063	176	129	129	22704
10555	6064	176	129	129	22704
10556	6065	176	129	129	22704
29516	26231	4432	5	20	22160
13710	7299	56	390	1169	21840
3682	3389	21672	1	1	21672
24420	10809	336	64	64	21504
13469	7289	184	111	337	20424
13215	7251	680	30	1325	20400
10156	6062	196	104	104	20384
10157	6063	196	104	104	20384
10158	6064	196	104	104	20384
10159	6065	196	104	104	20384
3353	3194	19681	1	1	19681
3992	3605	16	1187	1319	18992
5230	5429	18468	1	1	18468
5235	5431	18468	1	1	18468
5240	5434	18468	1	1	18468
5731	5925	18468	1	1	18468
5744	5931	18468	1	1	18468
5756	5935	18468	1	1	18468
10132	6062	120	152	152	18240
10133	6063	120	152	152	18240
10134	6064	120	152	152	18240
10135	6065	120	152	152	18240
10210	6062	112	156	156	17472
10211	6063	112	156	156	17472
10212	6064	112	156	156	17472
10213	6065	112	156	156	17472
4753	4390	17424	1	1	17424
3354	3196	17293	1	1	17293
23721	8372	17293	1	1	17293
28684	21444	17293	1	1	17293
4153	3788	480	36	36	17280
5567	5783	17244	1	1	17244
24815	11976	16536	1	1	16536
5276	5501	16384	1	1	16384
5282	5507	16384	1	1	16384
24641	11302	2048	8	8	16384
5323	5564	16000	1	1	16000
5324	5565	16000	1	1	16000
31828	33930	72	221	13702	15912
31938	33960	72	221	13702	15912
32048	33990	72	221	10166	15912
10180	6062	172	91	91	15652
10181	6063	172	91	91	15652
10182	6064	172	91	91	15652
10183	6065	172	91	91	15652
10144	6062	200	77	77	15400
10145	6063	200	77	77	15400
10146	6064	200	77	77	15400
10147	6065	200	77	77	15400
10293	6062	48	311	311	14928
10294	6063	48	311	311	14928
10295	6064	48	311	311	14928
10296	6065	48	311	311	14928
10160	6062	188	79	79	14852
10161	6063	188	79	79	14852
10162	6064	188	79	79	14852
10163	6065	188	79	79	14852
10120	6062	104	138	138	14352
10121	6063	104	138	138	14352
10122	6064	104	138	138	14352
10123	6065	104	138	138	14352
10365	6062	124	114	114	14136
10366	6063	124	114	114	14136
10367	6064	124	114	114	14136
10368	6065	124	114	114	14136
10529	6062	184	76	76	13984
